Date,Source,Action,BTC_Amount,USD_Amount,Fees
2021-10-06 05:24:00+00:00,Coinbase,BUY,0.00162956,100.00,1.49
2021-10-13 04:59:00+00:00,Coinbase,BUY,0.00165229,100.00,1.49
2021-10-20 03:43:00+00:00,Coinbase,BUY,0.00164055,100.00,1.49
2021-10-27 04:53:00+00:00,Coinbase,BUY,0.00172150,100.00,1.49
2021-11-03 02:14:00+00:00,Coinbase,BUY,0.00173810,100.00,1.49
2021-11-10 02:51:00+00:00,Coinbase,BUY,0.00185744,100.00,1.49
2021-11-17 04:25:00+00:00,Coinbase,BUY,0.00187705,100.00,1.49
2021-11-24 04:04:00+00:00,Coinbase,BUY,0.00197934,100.00,1.49
2021-12-01 03:58:00+00:00,Coinbase,BUY,0.00220785,100.00,1.49
2021-12-08 04:13:00+00:00,Coinbase,BUY,0.00220113,100.00,1.49
2021-12-15 05:25:00+00:00,Coinbase,BUY,0.00229126,100.00,1.49
2021-12-22 05:09:00+00:00,Coinbase,BUY,0.00249440,100.00,1.49
2021-12-29 04:08:00+00:00,Coinbase,BUY,0.00249645,100.00,1.49
2022-02-12 21:19:00+00:00,Coinbase,BUY,0.01707324,750.00,11.18
2022-04-19 10:05:00+00:00,Coinbase,BUY,0.05849940,2000.00,29.80
2022-05-14 11:29:00+00:00,Coinbase,BUY,0.01941428,500.00,7.45
2022-11-06 21:43:00+00:00,Coinbase,BUY,0.11744740,2000.00,29.80
2022-12-18 17:16:00+00:00,Coinbase,BUY,0.15022047,3000.00,44.70
2023-08-08 09:57:00+00:00,CashApp,BUY,0.00546299,150.00,2.70
2023-08-08 11:04:00+00:00,CashApp,BUY,0.01092535,300.00,5.40
2023-08-19 16:14:00+00:00,CashApp,BUY,0.03698700,1000.00,18.00
2023-08-25 16:49:00+00:00,CashApp,BUY,0.00744141,200.00,3.60
2023-09-01 09:45:00+00:00,CashApp,BUY,0.09113621,2500.00,45.00
2023-09-18 20:46:00+00:00,CashApp,BUY,0.08025235,2500.00,45.00
2023-09-22 15:35:00+00:00,CashApp,BUY,0.00629721,200.00,3.60
2023-09-23 12:25:00+00:00,CashApp,BUY,0.07774026,2500.00,45.00
2023-10-03 16:15:00+00:00,CashApp,BUY,0.00824344,300.00,5.40
2023-10-13 14:14:00+00:00,Coinbase,BUY,0.02020303,750.00,11.18
2023-10-15 22:33:00+00:00,CashApp,BUY,0.01398648,500.00,9.00
2023-10-17 21:38:00+00:00,CashApp,BUY,0.01313873,500.00,9.00
2023-11-07 16:08:00+00:00,CashApp,BUY,0.06238608,2500.00,45.00
2023-11-17 15:26:00+00:00,Swan,BUY,0.01202405,500.00,4.95
2023-11-19 06:06:00+00:00,Swan,BUY,0.01217819,500.00,4.95
2023-11-21 04:42:00+00:00,Swan,BUY,0.01194369,500.00,4.95
2023-11-28 09:22:00+00:00,Swan,BUY,0.01144221,500.00,4.95
2023-12-19 15:15:00+00:00,CashApp,BUY,0.01163857,500.00,9.00
2024-01-01 13:03:00+00:00,Strike,BUY,0.00238589,100.00,0.00
2024-01-02 13:05:00+00:00,Strike,BUY,0.00045708,20.00,0.00
2024-01-03 13:00:00+00:00,Strike,BUY,0.00058883,25.00,0.00
2024-01-04 13:01:00+00:00,Strike,BUY,0.00116339,50.00,0.00
2024-01-05 13:00:00+00:00,Strike,BUY,0.00115061,50.00,0.00
2024-01-06 13:00:00+00:00,Strike,BUY,0.00044947,20.00,0.00
2024-01-07 13:00:00+00:00,Strike,BUY,0.00044398,20.00,0.00
2024-01-08 13:01:00+00:00,Strike,BUY,0.00108535,50.00,0.00
2024-01-09 13:03:00+00:00,Strike,BUY,0.00042471,20.00,0.00
2024-01-11 13:03:00+00:00,Strike,BUY,0.00062782,30.00,0.00
2024-01-12 13:04:00+00:00,Strike,BUY,0.00209567,100.00,0.00
2024-01-14 13:04:00+00:00,Strike,BUY,0.00204453,100.00,0.00
2024-01-15 13:00:00+00:00,Strike,BUY,0.00039960,20.00,0.00
2024-01-16 13:04:00+00:00,Strike,BUY,0.00048768,25.00,0.00
2024-01-17 13:01:00+00:00,Strike,BUY,0.00040029,20.00,0.00
2024-01-18 13:01:00+00:00,Strike,BUY,0.00098656,50.00,0.00
2024-01-19 13:01:00+00:00,Strike,BUY,0.00095897,50.00,0.00
2024-01-20 13:03:00+00:00,Strike,BUY,0.00190394,100.00,0.00
2024-01-21 13:02:00+00:00,Strike,BUY,0.00046591,25.00,0.00
2024-01-22 13:02:00+00:00,Strike,BUY,0.00088429,50.00,0.00
2024-01-23 13:03:00+00:00,Strike,BUY,0.00054962,30.00,0.00
2024-01-24 13:00:00+00:00,Strike,BUY,0.00087298,50.00,0.00
2024-01-25 13:00:00+00:00,Strike,BUY,0.00034301,20.00,0.00
2024-01-26 13:01:00+00:00,Strike,BUY,0.00051924,30.00,0.00
2024-01-27 13:02:00+00:00,Strike,BUY,0.00052629,30.00,0.00
2024-01-28 13:05:00+00:00,Strike,BUY,0.00052093,30.00,0.00
2024-01-29 13:05:00+00:00,Strike,BUY,0.00081377,50.00,0.00
2024-01-29 20:35:00+00:00,Strike,BUY,0.01621617,1000.00,0.00
2024-01-30 13:00:00+00:00,Strike,BUY,0.00041272,25.00,0.00
2024-01-31 13:05:00+00:00,Strike,BUY,0.00079384,50.00,0.00
2024-02-01 13:01:00+00:00,Strike,BUY,0.00164491,100.00,0.00
2024-02-02 13:02:00+00:00,Strike,BUY,0.00083448,50.00,0.00
2024-02-03 13:00:00+00:00,Strike,BUY,0.00032115,20.00,0.00
2024-02-04 13:00:00+00:00,Strike,BUY,0.00031768,20.00,0.00
2024-02-07 13:04:00+00:00,Strike,BUY,0.00031068,20.00,0.00
2024-02-08 13:05:00+00:00,Strike,BUY,0.00039205,25.00,0.00
2024-02-09 13:04:00+00:00,Strike,BUY,0.00078323,50.00,0.00
2024-02-11 13:00:00+00:00,Strike,BUY,0.00047818,30.00,0.00
2024-02-12 13:00:00+00:00,Strike,BUY,0.00044833,30.00,0.00
2024-02-13 13:03:00+00:00,Strike,BUY,0.00074895,50.00,0.00
2024-02-13 15:38:00+00:00,Coinbase,BUY,0.02949501,2000.00,29.80
2024-02-14 13:01:00+00:00,Strike,BUY,0.00037271,25.00,0.00
2024-02-15 13:03:00+00:00,Strike,BUY,0.00029862,20.00,0.00
2024-02-16 13:03:00+00:00,Strike,BUY,0.00154343,100.00,0.00
2024-02-17 13:02:00+00:00,Strike,BUY,0.00036834,25.00,0.00
2024-02-19 13:01:00+00:00,Strike,BUY,0.00036976,25.00,0.00
2024-02-20 13:02:00+00:00,Strike,BUY,0.00036147,25.00,0.00
2024-02-21 13:03:00+00:00,Strike,BUY,0.00043154,30.00,0.00
2024-02-23 13:04:00+00:00,Strike,BUY,0.00070378,50.00,0.00
2024-02-24 13:02:00+00:00,Strike,BUY,0.00028163,20.00,0.00
2024-02-25 13:01:00+00:00,Strike,BUY,0.00071004,50.00,0.00
2024-02-26 13:00:00+00:00,Strike,BUY,0.00071641,50.00,0.00
2024-02-27 13:02:00+00:00,Strike,BUY,0.00072197,50.00,0.00
2024-02-28 13:03:00+00:00,Strike,BUY,0.00072782,50.00,0.00
2024-02-28 19:19:00+00:00,Coinbase,BUY,0.04295968,3000.00,44.70
2024-03-01 13:04:00+00:00,Strike,BUY,0.00138110,100.00,0.00
2024-03-02 13:05:00+00:00,Strike,BUY,0.00035749,25.00,0.00
2024-03-04 13:02:00+00:00,Strike,BUY,0.00144126,100.00,0.00
2024-03-05 13:02:00+00:00,Strike,BUY,0.00073774,50.00,0.00
2024-03-06 13:03:00+00:00,Strike,BUY,0.00144983,100.00,0.00
2024-03-08 13:05:00+00:00,Strike,BUY,0.00144114,100.00,0.00
2024-03-09 13:02:00+00:00,Strike,BUY,0.00072241,50.00,0.00
2024-03-11 13:04:00+00:00,Strike,BUY,0.00073838,50.00,0.00
2024-03-12 13:03:00+00:00,Strike,BUY,0.00148817,100.00,0.00
2024-03-13 13:05:00+00:00,Strike,BUY,0.00038376,25.00,0.00
2024-03-14 13:05:00+00:00,Strike,BUY,0.00148388,100.00,0.00
2024-03-16 13:02:00+00:00,Strike,BUY,0.00038613,25.00,0.00
2024-03-18 13:04:00+00:00,Strike,BUY,0.00030369,20.00,0.00
2024-03-19 13:04:00+00:00,Strike,BUY,0.00039521,25.00,0.00
2024-03-20 13:03:00+00:00,Strike,BUY,0.00037907,25.00,0.00
2024-03-21 13:00:00+00:00,Strike,BUY,0.00079618,50.00,0.00
2024-03-22 13:05:00+00:00,Strike,BUY,0.00081578,50.00,0.00
2024-03-23 13:00:00+00:00,Strike,BUY,0.00079154,50.00,0.00
2024-03-24 13:04:00+00:00,Strike,BUY,0.00082030,50.00,0.00
2024-03-25 13:03:00+00:00,Strike,BUY,0.00078983,50.00,0.00
2024-03-26 13:03:00+00:00,Strike,BUY,0.00081898,50.00,0.00
2024-03-28 13:01:00+00:00,Strike,BUY,0.00160585,100.00,0.00
2024-03-29 13:03:00+00:00,Strike,BUY,0.00166794,100.00,0.00
2024-03-30 13:05:00+00:00,Strike,BUY,0.00050682,30.00,0.00
2024-03-31 13:04:00+00:00,Strike,BUY,0.00033018,20.00,0.00
2024-04-01 13:05:00+00:00,Strike,BUY,0.00040842,25.00,0.00
2024-04-03 13:03:00+00:00,Strike,BUY,0.00034143,20.00,0.00
2024-04-04 13:04:00+00:00,Strike,BUY,0.00158909,100.00,0.00
2024-04-04 20:36:00+00:00,Strike,BUY,0.01587136,1000.00,0.00
2024-04-05 13:02:00+00:00,Strike,BUY,0.00049847,30.00,0.00
2024-04-05 14:48:00+00:00,Coinbase,BUY,0.01227257,750.00,11.18
2024-04-06 13:03:00+00:00,Strike,BUY,0.00083617,50.00,0.00
2024-04-07 13:04:00+00:00,Strike,BUY,0.00040310,25.00,0.00
2024-04-08 13:03:00+00:00,Strike,BUY,0.00032859,20.00,0.00
2024-04-09 13:03:00+00:00,Strike,BUY,0.00157843,100.00,0.00
2024-04-10 13:01:00+00:00,Strike,BUY,0.00081603,50.00,0.00
2024-04-11 13:04:00+00:00,Strike,BUY,0.00081608,50.00,0.00
2024-04-13 13:01:00+00:00,Strike,BUY,0.00031087,20.00,0.00
2024-04-14 13:03:00+00:00,Strike,BUY,0.00046954,30.00,0.00
2024-04-15 13:02:00+00:00,Strike,BUY,0.00079469,50.00,0.00
2024-04-16 18:03:00+00:00,Strike,BUY,0.01597483,1000.00,0.00
2024-04-17 13:00:00+00:00,Strike,BUY,0.00157927,100.00,0.00
2024-04-19 13:04:00+00:00,Strike,BUY,0.00038162,25.00,0.00
2024-04-20 13:00:00+00:00,Strike,BUY,0.00074838,50.00,0.00
2024-04-21 13:02:00+00:00,Strike,BUY,0.00045558,30.00,0.00
2024-04-22 13:05:00+00:00,Strike,BUY,0.00149666,100.00,0.00
2024-04-23 13:02:00+00:00,Strike,BUY,0.00029865,20.00,0.00
2024-04-24 13:04:00+00:00,Strike,BUY,0.00146818,100.00,0.00
2024-04-25 13:05:00+00:00,Strike,BUY,0.00036712,25.00,0.00
2024-04-26 13:05:00+00:00,Strike,BUY,0.00036737,25.00,0.00
2024-04-27 13:05:00+00:00,Strike,BUY,0.00074623,50.00,0.00
2024-04-28 13:04:00+00:00,Strike,BUY,0.00030375,20.00,0.00
2024-04-29 13:02:00+00:00,Strike,BUY,0.00028965,20.00,0.00
2024-04-30 13:03:00+00:00,Strike,BUY,0.00074923,50.00,0.00
2024-05-01 13:05:00+00:00,Strike,BUY,0.00071743,50.00,0.00
2024-05-02 13:05:00+00:00,Strike,BUY,0.00071991,50.00,0.00
2024-05-03 13:04:00+00:00,Strike,BUY,0.00076905,50.00,0.00
2024-05-04 13:04:00+00:00,Strike,BUY,0.00045853,30.00,0.00
2024-05-05 13:00:00+00:00,Strike,BUY,0.00043883,30.00,0.00
2024-05-06 13:03:00+00:00,Strike,BUY,0.00075800,50.00,0.00
2024-05-07 13:00:00+00:00,Strike,BUY,0.00078411,50.00,0.00
2024-05-09 13:02:00+00:00,Strike,BUY,0.00044656,30.00,0.00
2024-05-10 13:02:00+00:00,Strike,BUY,0.00079040,50.00,0.00
2024-05-10 15:05:00+00:00,Strike,BUY,0.00790618,500.00,0.00
2024-05-11 13:03:00+00:00,Strike,BUY,0.00074257,50.00,0.00
2024-05-12 13:05:00+00:00,Strike,BUY,0.00154110,100.00,0.00
2024-05-13 13:00:00+00:00,Strike,BUY,0.00045764,30.00,0.00
2024-05-14 13:02:00+00:00,Strike,BUY,0.00157396,100.00,0.00
2024-05-15 13:04:00+00:00,Strike,BUY,0.00045259,30.00,0.00
2024-05-16 13:02:00+00:00,Strike,BUY,0.00048416,30.00,0.00
2024-05-17 13:02:00+00:00,Strike,BUY,0.00038526,25.00,0.00
2024-05-18 09:43:00+00:00,Coinbase,BUY,0.00760990,500.00,7.45
2024-05-19 13:05:00+00:00,Strike,BUY,0.00040746,25.00,0.00
2024-05-20 13:02:00+00:00,Strike,BUY,0.00162319,100.00,0.00
2024-05-21 13:04:00+00:00,Strike,BUY,0.00048871,30.00,0.00
2024-05-22 13:02:00+00:00,Strike,BUY,0.00039142,25.00,0.00
2024-05-23 13:05:00+00:00,Strike,BUY,0.00079581,50.00,0.00
2024-05-25 13:01:00+00:00,Strike,BUY,0.00155318,100.00,0.00
2024-05-26 13:00:00+00:00,Strike,BUY,0.00081796,50.00,0.00
2024-05-27 13:02:00+00:00,Strike,BUY,0.00039281,25.00,0.00
2024-05-28 13:03:00+00:00,Strike,BUY,0.00032625,20.00,0.00
2024-05-29 13:00:00+00:00,Strike,BUY,0.00078943,50.00,0.00
2024-05-31 13:02:00+00:00,Strike,BUY,0.00031989,20.00,0.00
2024-06-02 13:04:00+00:00,Strike,BUY,0.00041860,25.00,0.00
2024-06-03 13:03:00+00:00,Strike,BUY,0.00049955,30.00,0.00
2024-06-04 13:02:00+00:00,Strike,BUY,0.00082258,50.00,0.00
2024-06-05 13:05:00+00:00,Strike,BUY,0.00032224,20.00,0.00
2024-06-06 13:01:00+00:00,Strike,BUY,0.00048925,30.00,0.00
2024-06-08 17:44:00+00:00,Strike,BUY,0.03169941,2000.00,0.00
2024-06-09 13:00:00+00:00,Strike,BUY,0.00038693,25.00,0.00
2024-06-10 13:03:00+00:00,Strike,BUY,0.00031515,20.00,0.00
2024-06-11 13:05:00+00:00,Strike,BUY,0.00079967,50.00,0.00
2024-06-12 13:03:00+00:00,Strike,BUY,0.00032078,20.00,0.00
2024-06-13 13:02:00+00:00,Strike,BUY,0.00040699,25.00,0.00
2024-06-15 13:04:00+00:00,Strike,BUY,0.00048675,30.00,0.00
2024-06-16 13:02:00+00:00,Strike,BUY,0.00152796,100.00,0.00
2024-06-17 13:04:00+00:00,Strike,BUY,0.00078812,50.00,0.00
2024-06-18 13:03:00+00:00,Strike,BUY,0.00155082,100.00,0.00
2024-06-19 13:00:00+00:00,Strike,BUY,0.00039725,25.00,0.00
2024-06-20 13:04:00+00:00,Strike,BUY,0.00080355,50.00,0.00
2024-06-21 13:05:00+00:00,Strike,BUY,0.00045356,30.00,0.00
2024-06-22 13:01:00+00:00,Strike,BUY,0.00078160,50.00,0.00
2024-06-23 13:02:00+00:00,Strike,BUY,0.00038485,25.00,0.00
2024-06-24 13:03:00+00:00,Strike,BUY,0.00030936,20.00,0.00
2024-06-25 13:02:00+00:00,Strike,BUY,0.00153267,100.00,0.00
2024-06-27 13:05:00+00:00,Strike,BUY,0.00075835,50.00,0.00
2024-06-28 13:03:00+00:00,Strike,BUY,0.00031255,20.00,0.00
2024-06-29 13:03:00+00:00,Strike,BUY,0.00075838,50.00,0.00
2024-07-01 13:00:00+00:00,Strike,BUY,0.00036660,25.00,0.00
2024-07-02 13:03:00+00:00,Strike,BUY,0.00154619,100.00,0.00
2024-07-05 13:03:00+00:00,Strike,BUY,0.00031445,20.00,0.00
2024-07-05 19:38:00+00:00,Strike,BUY,0.00786917,500.00,0.00
2024-07-06 13:02:00+00:00,Strike,BUY,0.00074545,50.00,0.00
2024-07-06 17:05:00+00:00,Strike,BUY,0.00745906,500.00,0.00
2024-07-07 13:00:00+00:00,Strike,BUY,0.00078168,50.00,0.00
2024-07-08 13:01:00+00:00,Strike,BUY,0.00075446,50.00,0.00
2024-07-09 13:05:00+00:00,Strike,BUY,0.00045827,30.00,0.00
2024-07-10 13:03:00+00:00,Strike,BUY,0.00039527,25.00,0.00
2024-07-12 13:05:00+00:00,Strike,BUY,0.00039012,25.00,0.00
2024-07-13 13:03:00+00:00,Strike,BUY,0.00048501,30.00,0.00
2024-07-14 13:00:00+00:00,Strike,BUY,0.00049263,30.00,0.00
2024-07-15 13:04:00+00:00,Strike,BUY,0.00159292,100.00,0.00
2024-07-17 13:04:00+00:00,Strike,BUY,0.00077833,50.00,0.00
2024-07-18 13:01:00+00:00,Strike,BUY,0.00159325,100.00,0.00
2024-07-19 13:03:00+00:00,Strike,BUY,0.00032637,20.00,0.00
2024-07-20 13:03:00+00:00,Strike,BUY,0.00082308,50.00,0.00
2024-07-21 13:05:00+00:00,Strike,BUY,0.00039734,25.00,0.00
2024-07-23 13:00:00+00:00,Strike,BUY,0.00080251,50.00,0.00
2024-07-24 13:00:00+00:00,Strike,BUY,0.00159901,100.00,0.00
2024-07-25 13:01:00+00:00,Strike,BUY,0.00033743,20.00,0.00
2024-07-26 13:02:00+00:00,Strike,BUY,0.00083128,50.00,0.00
2024-07-27 13:02:00+00:00,Strike,BUY,0.00170187,100.00,0.00
2024-07-28 13:02:00+00:00,Strike,BUY,0.00163020,100.00,0.00
2024-07-29 13:04:00+00:00,Strike,BUY,0.00033754,20.00,0.00
2024-07-30 13:05:00+00:00,Strike,BUY,0.00049339,30.00,0.00
2024-07-31 13:03:00+00:00,Strike,BUY,0.00034317,20.00,0.00
2024-08-01 13:00:00+00:00,Strike,BUY,0.00082357,50.00,0.00
2024-08-02 13:00:00+00:00,Strike,BUY,0.00033362,20.00,0.00
2024-08-03 21:03:00+00:00,Coinbase,BUY,0.00824440,500.00,7.45
2024-08-04 13:01:00+00:00,Strike,BUY,0.00084149,50.00,0.00
2024-08-05 13:01:00+00:00,Strike,BUY,0.00042855,25.00,0.00
2024-08-06 13:03:00+00:00,Strike,BUY,0.00084449,50.00,0.00
2024-08-07 13:04:00+00:00,Strike,BUY,0.00042314,25.00,0.00
2024-08-08 13:03:00+00:00,Strike,BUY,0.00049192,30.00,0.00
2024-08-09 13:03:00+00:00,Strike,BUY,0.00051542,30.00,0.00
2024-08-11 13:04:00+00:00,Strike,BUY,0.00048401,30.00,0.00
2024-08-12 13:02:00+00:00,Strike,BUY,0.00081505,50.00,0.00
2024-08-14 13:01:00+00:00,Strike,BUY,0.00083976,50.00,0.00
2024-08-15 13:05:00+00:00,Strike,BUY,0.00047818,30.00,0.00
2024-08-15 20:42:00+00:00,Strike,BUY,0.01592824,1000.00,0.00
2024-08-16 13:04:00+00:00,Strike,BUY,0.00167105,100.00,0.00
2024-08-17 13:04:00+00:00,Strike,BUY,0.00160948,100.00,0.00
2024-08-18 13:02:00+00:00,Strike,BUY,0.00040398,25.00,0.00
2024-08-19 13:05:00+00:00,Strike,BUY,0.00039245,25.00,0.00
2024-08-20 13:05:00+00:00,Strike,BUY,0.00157494,100.00,0.00
2024-08-22 13:00:00+00:00,Strike,BUY,0.00048623,30.00,0.00
2024-08-25 13:03:00+00:00,Strike,BUY,0.00038751,25.00,0.00
2024-08-26 13:02:00+00:00,Strike,BUY,0.00078084,50.00,0.00
2024-08-27 13:01:00+00:00,Strike,BUY,0.00049566,30.00,0.00
2024-08-28 13:02:00+00:00,Strike,BUY,0.00160013,100.00,0.00
2024-08-29 13:03:00+00:00,Strike,BUY,0.00031219,20.00,0.00
2024-08-30 13:05:00+00:00,Strike,BUY,0.00155230,100.00,0.00
2024-08-31 13:04:00+00:00,Strike,BUY,0.00048514,30.00,0.00
2024-09-01 13:02:00+00:00,Strike,BUY,0.00076423,50.00,0.00
2024-09-01 18:20:00+00:00,Coinbase,BUY,0.03009074,2000.00,29.80
2024-09-02 13:05:00+00:00,Strike,BUY,0.00157188,100.00,0.00
2024-09-03 13:05:00+00:00,Strike,BUY,0.00047756,30.00,0.00
2024-09-04 13:00:00+00:00,Strike,BUY,0.00075527,50.00,0.00
2024-09-05 13:04:00+00:00,Strike,BUY,0.00037794,25.00,0.00
2024-09-06 13:03:00+00:00,Strike,BUY,0.00159645,100.00,0.00
2024-09-07 13:01:00+00:00,Strike,BUY,0.00031683,20.00,0.00
2024-09-08 13:03:00+00:00,Strike,BUY,0.00030435,20.00,0.00
2024-09-09 13:01:00+00:00,Strike,BUY,0.00075642,50.00,0.00
2024-09-10 13:05:00+00:00,Strike,BUY,0.00155412,100.00,0.00
2024-09-11 13:05:00+00:00,Strike,BUY,0.00153106,100.00,0.00
2024-09-12 13:00:00+00:00,Strike,BUY,0.00076404,50.00,0.00
2024-09-13 13:02:00+00:00,Strike,BUY,0.00030249,20.00,0.00
2024-09-14 13:03:00+00:00,Strike,BUY,0.00036611,25.00,0.00
2024-09-16 13:05:00+00:00,Strike,BUY,0.00043968,30.00,0.00
2024-09-17 13:00:00+00:00,Strike,BUY,0.00073497,50.00,0.00
2024-09-18 13:05:00+00:00,Strike,BUY,0.00076634,50.00,0.00
2024-09-20 13:04:00+00:00,Strike,BUY,0.00036539,25.00,0.00
2024-09-21 13:01:00+00:00,Strike,BUY,0.00072057,50.00,0.00
2024-09-22 13:02:00+00:00,Strike,BUY,0.00036136,25.00,0.00
2024-09-23 13:02:00+00:00,Strike,BUY,0.00037567,25.00,0.00
2024-09-24 13:01:00+00:00,Strike,BUY,0.00029434,20.00,0.00
2024-09-25 13:49:00+00:00,Coinbase,BUY,0.01457179,1000.00,14.90
2024-09-25 20:50:00+00:00,Strike,BUY,0.00738864,500.00,0.00
2024-09-26 13:00:00+00:00,Strike,BUY,0.00037040,25.00,0.00
2024-09-29 13:02:00+00:00,Strike,BUY,0.00070291,50.00,0.00
2024-09-30 13:01:00+00:00,Strike,BUY,0.00072997,50.00,0.00
2024-10-01 13:05:00+00:00,Strike,BUY,0.00071164,50.00,0.00
2024-10-02 13:00:00+00:00,Strike,BUY,0.00027931,20.00,0.00
2024-10-03 13:03:00+00:00,Strike,BUY,0.00139154,100.00,0.00
2024-10-04 13:03:00+00:00,Strike,BUY,0.00028113,20.00,0.00
2024-10-05 13:01:00+00:00,Strike,BUY,0.00026518,20.00,0.00
2024-10-06 13:04:00+00:00,Strike,BUY,0.00066505,50.00,0.00
2024-10-07 13:04:00+00:00,Strike,BUY,0.00064517,50.00,0.00
2024-10-08 13:03:00+00:00,Strike,BUY,0.00026236,20.00,0.00
2024-10-10 13:04:00+00:00,Strike,BUY,0.00130888,100.00,0.00
2024-10-11 13:01:00+00:00,Strike,BUY,0.00064968,50.00,0.00
2024-10-12 13:03:00+00:00,Strike,BUY,0.00122980,100.00,0.00
2024-10-13 13:05:00+00:00,Strike,BUY,0.00037392,30.00,0.00
2024-10-17 13:01:00+00:00,Strike,BUY,0.00061267,50.00,0.00
2024-10-18 13:04:00+00:00,Strike,BUY,0.00035917,30.00,0.00
2024-10-19 13:05:00+00:00,Strike,BUY,0.00060437,50.00,0.00
2024-10-20 13:02:00+00:00,Strike,BUY,0.00058328,50.00,0.00
2024-10-23 13:02:00+00:00,Strike,BUY,0.00058050,50.00,0.00
2024-10-24 13:04:00+00:00,Strike,BUY,0.00027434,25.00,0.00
2024-10-25 13:04:00+00:00,Strike,BUY,0.00055741,50.00,0.00
2024-10-26 13:04:00+00:00,Strike,BUY,0.00113047,100.00,0.00
2024-10-27 13:01:00+00:00,Strike,BUY,0.00033384,30.00,0.00
2024-10-28 13:02:00+00:00,Strike,BUY,0.00032531,30.00,0.00
2024-10-28 20:09:00+00:00,Strike,BUY,0.02162162,2000.00,0.00
2024-10-29 13:00:00+00:00,Strike,BUY,0.00026277,25.00,0.00
2024-10-30 13:00:00+00:00,Strike,BUY,0.00108935,100.00,0.00
2024-10-31 13:03:00+00:00,Strike,BUY,0.00030820,30.00,0.00
2024-11-01 13:02:00+00:00,Strike,BUY,0.00053364,50.00,0.00
