Reference,Date & Time (UTC),Transaction Type,Amount USD,Fee USD,Amount BTC,Fee BTC,BTC Price,Cost Basis (USD),Destination,Description,Transaction Hash,Note
943394d7-fdb0-3cfd-f3ff-c46d7db02c5e,Jan 13 2025 13:02:22,Deposit,30.00,,,,,,,,,
c555ddde-06ec-2ca5-50e9-7a34aaffe4da,Jan 13 2025 13:03:00,Purchase,-30.00,,0.00030838,,97283.25,30.00,,,,
fc906b0a-0293-e3ca-f624-bcb2e239d11b,Jan 14 2025 13:02:22,Deposit,50.00,,,,,,,,,
105885ef-be17-0460-334a-02c1f850cb45,Jan 14 2025 13:03:00,Purchase,-50.00,,0.00051669,,96769.36,50.00,,,,
576d630c-510f-6048-5cd4-8eb7f90af289,Jan 15 2025 12:59:22,Deposit,30.00,,,,,,,,,
cbdf81cf-6b98-b78a-28cd-db68697bd5df,Jan 15 2025 13:00:00,Purchase,-30.00,,0.00032212,,93133.00,30.00,,,,
6dc9a740-efbf-0975-d689-7da1b09a1b15,Jan 16 2025 12:59:22,Deposit,100.00,,,,,,,,,
8ce501e6-8561-ee7f-4a8b-0702d4ab3b14,Jan 16 2025 13:00:00,Purchase,-100.00,,0.00107074,,93393.43,100.00,,,,
09a05396-a724-e877-fa62-3347b085cb5e,Jan 17 2025 13:00:22,Deposit,20.00,,,,,,,,,
84dc5b31-bf76-bb9a-28d1-27a32f9bba7e,Jan 17 2025 13:01:00,Purchase,-20.00,,0.00022480,,88968.88,20.00,,,,
1d4f53de-67e8-c342-afbd-5d835d083ec5,Jan 18 2025 13:04:22,Deposit,25.00,,,,,,,,,
01d72d70-7a2d-f19a-1a44-de73568719b2,Jan 18 2025 13:05:00,Purchase,-25.00,,0.00026822,,93205.43,25.00,,,,
9414b7c9-b145-7378-4fbb-ece523a90986,Jan 19 2025 13:03:22,Deposit,20.00,,,,,,,,,
2697db72-15ff-33a0-d43e-4ca2e653d421,Jan 19 2025 13:04:00,Purchase,-20.00,,0.00022694,,88127.58,20.00,,,,
f74537c2-ae6e-df30-b4ef-0e9b2b6188a1,Jan 22 2025 13:02:22,Deposit,20.00,,,,,,,,,
0504c7f1-69b1-5ace-c171-8068deb9247d,Jan 22 2025 13:03:00,Purchase,-20.00,,0.00022774,,87817.70,20.00,,,,
31274e52-1a37-78c1-3954-0375b75162c3,Jan 23 2025 12:59:22,Deposit,20.00,,,,,,,,,
d7d072f7-c0e9-fdf5-110b-42831f0e3d78,Jan 23 2025 13:00:00,Purchase,-20.00,,0.00023133,,86455.25,20.00,,,,
b0a356e0-b232-89b8-bdf4-cbac35edf27e,Jan 24 2025 13:03:22,Deposit,50.00,,,,,,,,,
e3d4d7bc-34cc-e70b-bf6e-36f915469c29,Jan 24 2025 13:04:00,Purchase,-50.00,,0.00056940,,87812.32,50.00,,,,
9cc5fd66-0932-ed39-53b5-973cd6d8f08c,Jan 25 2025 13:02:22,Deposit,50.00,,,,,,,,,
accf06c7-0087-f7c7-2b54-35f1ca782181,Jan 25 2025 13:03:00,Purchase,-50.00,,0.00055292,,90428.62,50.00,,,,
c432e545-8f36-023e-c1fa-e8f9e1a543f3,Jan 26 2025 13:03:22,Deposit,25.00,,,,,,,,,
38dadb33-0d2f-6ad7-3d63-5ebbe5d3d9d6,Jan 26 2025 13:04:00,Purchase,-25.00,,0.00028174,,88734.30,25.00,,,,
f2261c51-360f-2dfb-653c-76d372fa8119,Jan 27 2025 12:59:22,Deposit,50.00,,,,,,,,,
17f5b9ba-7ad7-34f8-644a-a3e825a28fd5,Jan 27 2025 13:00:00,Purchase,-50.00,,0.00056991,,87733.65,50.00,,,,
356c13c7-8b83-68a7-3ac6-170fca1d9be4,Jan 28 2025 13:00:22,Deposit,100.00,,,,,,,,,
8153ef6a-2dc2-266f-6de0-f43f79059455,Jan 28 2025 13:01:00,Purchase,-100.00,,0.00112959,,88527.62,100.00,,,,
8371d757-da90-3399-8598-40587b09edb2,Jan 29 2025 13:01:22,Deposit,20.00,,,,,,,,,
3d2ad809-39fb-626e-1a94-9a215c2206ac,Jan 29 2025 13:02:00,Purchase,-20.00,,0.00024158,,82788.16,20.00,,,,
a855157f-ccdd-55b7-7c28-22607948490c,Jan 30 2025 13:03:22,Deposit,50.00,,,,,,,,,
d568d669-7786-fb3c-d81d-b95975c4aa0e,Jan 30 2025 13:04:00,Purchase,-50.00,,0.00059624,,83859.25,50.00,,,,
86a0b5b8-f07d-d9a6-a3fc-a18e3601a84e,Jan 30 2025 20:29:22,Deposit,500.00,,,,,,,,,
689ccdde-8e0d-3e0d-128e-22068e3acfbd,Jan 30 2025 20:30:00,Purchase,-500.00,,0.00597367,,83700.71,500.00,,,,
da0a2d03-cf98-5696-bda0-8a0add7fa914,Jan 31 2025 13:01:22,Deposit,30.00,,,,,,,,,
85d2f5ae-3914-a17a-fd5c-92d797d1c6ab,Jan 31 2025 13:02:00,Purchase,-30.00,,0.00036301,,82641.44,30.00,,,,
702024ec-a260-9b4f-ebcf-16cad416d689,Feb 01 2025 12:59:22,Deposit,30.00,,,,,,,,,
968cc773-2467-bed2-f1e7-3e98beed5d4c,Feb 01 2025 13:00:00,Purchase,-30.00,,0.00034809,,86185.28,30.00,,,,
7cea1ff8-fb89-79a4-b6ee-807fcedf9084,Feb 02 2025 12:59:22,Deposit,50.00,,,,,,,,,
0fdeb29e-b692-2af6-6111-181dbcb4798a,Feb 02 2025 13:00:00,Purchase,-50.00,,0.00060643,,82449.36,50.00,,,,
7adb7a56-4dd1-018e-0221-79bd22ca223a,Feb 03 2025 12:59:22,Deposit,30.00,,,,,,,,,
6e8cd299-fed2-df08-edcc-40b4bcab0285,Feb 03 2025 13:00:00,Purchase,-30.00,,0.00034852,,86078.37,30.00,,,,
77055fd9-0a8f-7d54-281b-262cc19f9e76,Feb 04 2025 13:00:22,Deposit,100.00,,,,,,,,,
28ea58e9-9406-a893-057f-7b2dd9ff9362,Feb 04 2025 13:01:00,Purchase,-100.00,,0.00119221,,83877.73,100.00,,,,
6b2604bb-68da-2b6b-53fa-a1925cab3ceb,Feb 05 2025 13:04:22,Deposit,25.00,,,,,,,,,
56637921-1628-c684-5953-be71352a4f69,Feb 05 2025 13:05:00,Purchase,-25.00,,0.00029040,,86089.51,25.00,,,,
229c2672-abb6-12a7-1619-90ee231db9aa,Feb 07 2025 13:01:22,Deposit,25.00,,,,,,,,,
edd79a93-534d-8a41-d923-0d3cc2014584,Feb 07 2025 13:02:00,Purchase,-25.00,,0.00030804,,81159.15,25.00,,,,
3c4d442f-bc5c-c406-8f20-0b74bf44e165,Feb 09 2025 13:03:22,Deposit,50.00,,,,,,,,,
401e8af4-86e3-4b29-a51a-04c0c1905580,Feb 09 2025 13:04:00,Purchase,-50.00,,0.00061369,,81474.28,50.00,,,,
db9f8eca-1082-adc8-613c-abd47fecbd72,Feb 10 2025 13:01:22,Deposit,20.00,,,,,,,,,
6c1d4402-36c0-8f8e-2060-6a38a7599238,Feb 10 2025 13:02:00,Purchase,-20.00,,0.00023821,,83961.18,20.00,,,,
e1b79e47-b2df-61a7-4cf0-8cdac45b5550,Feb 12 2025 13:04:22,Deposit,30.00,,,,,,,,,
3647b61d-ad9d-fdf0-c8a7-f88afa427b62,Feb 12 2025 13:05:00,Purchase,-30.00,,0.00035947,,83457.24,30.00,,,,
faba5f8e-8229-c5de-a33f-d8a78dba2bd9,Feb 13 2025 13:02:22,Deposit,50.00,,,,,,,,,
3ced7016-b513-c612-af45-8448695fcd18,Feb 13 2025 13:03:00,Purchase,-50.00,,0.00059955,,83395.52,50.00,,,,
d1218066-902a-7e7b-ccf3-ba88d0b74c1d,Feb 14 2025 13:02:22,Deposit,30.00,,,,,,,,,
f8c4f41a-6c92-34bd-e4b1-52ba670feaa4,Feb 14 2025 13:03:00,Purchase,-30.00,,0.00035694,,84048.53,30.00,,,,
25c5d86b-cf89-c0e0-fa23-2efbb2489395,Feb 15 2025 13:02:22,Deposit,30.00,,,,,,,,,
a63d857a-f8ee-dbca-1f0b-a98697dff3ad,Feb 15 2025 13:03:00,Purchase,-30.00,,0.00037015,,81047.75,30.00,,,,
54081fc7-93b6-bee3-1133-a8ee798728f4,Feb 16 2025 12:59:22,Deposit,100.00,,,,,,,,,
5bbeac83-7a8f-93ca-be6a-474bbb0bf9fb,Feb 16 2025 13:00:00,Purchase,-100.00,,0.00117618,,85020.70,100.00,,,,
3dc14836-d576-9e09-0e38-ce38ff793baa,Feb 17 2025 13:00:22,Deposit,50.00,,,,,,,,,
16f9bc13-e06c-302e-b013-e1ce81fd5aa3,Feb 17 2025 13:01:00,Purchase,-50.00,,0.00062028,,80609.08,50.00,,,,
c43b7dec-7b6d-f7bb-d1f1-e4468267b360,Feb 19 2025 13:02:22,Deposit,50.00,,,,,,,,,
2861e95f-97dc-7afd-e280-601e7bdb4c05,Feb 19 2025 13:03:00,Purchase,-50.00,,0.00059783,,83636.35,50.00,,,,
a5d7f824-cd32-4465-285a-5c23f4a9cae8,Feb 21 2025 13:04:22,Deposit,30.00,,,,,,,,,
8cb65ba8-9233-a26c-e60a-41636ed938f2,Feb 21 2025 13:05:00,Purchase,-30.00,,0.00037421,,80169.33,30.00,,,,
8c450287-67a8-1335-e56c-060fc9ef10df,Feb 22 2025 13:04:22,Deposit,20.00,,,,,,,,,
d37ec4b0-fdf2-d53f-419c-193c7175c9ac,Feb 22 2025 13:05:00,Purchase,-20.00,,0.00024086,,83037.14,20.00,,,,
8de932c1-a70c-81f0-794a-3e132b36c4ce,Feb 23 2025 13:01:22,Deposit,50.00,,,,,,,,,
0e853a72-7c4a-5c04-53d0-eb80476b7962,Feb 23 2025 13:02:00,Purchase,-50.00,,0.00060223,,83024.96,50.00,,,,
0dbe7a2f-9a8c-6b30-5291-24762abf07ae,Feb 24 2025 12:59:22,Deposit,25.00,,,,,,,,,
3ff2f061-bde1-9248-c0a2-c87a67ec83ec,Feb 24 2025 13:00:00,Purchase,-25.00,,0.00030608,,81677.23,25.00,,,,
eed10c87-9ae7-2f71-7758-deaf8a309819,Feb 25 2025 13:02:22,Deposit,20.00,,,,,,,,,
e632bc0a-95f1-eb9f-d333-1ffc9eb9bdae,Feb 25 2025 13:03:00,Purchase,-20.00,,0.00024253,,82464.08,20.00,,,,
4e45c69a-8060-8cbd-0dc5-d264df1eeeeb,Feb 26 2025 13:04:22,Deposit,30.00,,,,,,,,,
e16d4c7f-e5e2-21e7-b34d-551d59657671,Feb 26 2025 13:05:00,Purchase,-30.00,,0.00037562,,79867.88,30.00,,,,
46788c0c-0c87-0cb4-6aec-a4924a7f11c8,Feb 27 2025 12:59:22,Deposit,50.00,,,,,,,,,
8a9fa733-085b-b940-a7ed-94ba0fdec051,Feb 27 2025 13:00:00,Purchase,-50.00,,0.00062034,,80600.43,50.00,,,,
745372f1-2acd-64ff-5f62-859bd53fc993,Feb 28 2025 13:01:22,Deposit,30.00,,,,,,,,,
d07650f0-0a21-5f9a-2404-502fb9b82c8f,Feb 28 2025 13:02:00,Purchase,-30.00,,0.00035154,,85337.83,30.00,,,,
4218cd4e-a03b-5ce8-8517-c1fa9660bf47,Mar 02 2025 13:01:22,Deposit,100.00,,,,,,,,,
6c0d128a-e474-cf28-a3e0-3b13dff404b2,Mar 02 2025 13:02:00,Purchase,-100.00,,0.00116461,,85865.64,100.00,,,,
4134b477-4e08-6fa5-3aba-32d6e2950eae,Mar 03 2025 12:59:22,Deposit,100.00,,,,,,,,,
93959e7d-5c4b-2725-9fe7-def589696a9e,Mar 03 2025 13:00:00,Purchase,-100.00,,0.00122317,,81754.95,100.00,,,,
f5cbf3ac-9715-1780-949f-d101902dbf7f,Mar 04 2025 13:03:22,Deposit,20.00,,,,,,,,,
d495cc44-b841-7d71-2813-a4e733e55c92,Mar 04 2025 13:04:00,Purchase,-20.00,,0.00024026,,83241.62,20.00,,,,
8fad0028-476a-8e95-57ad-dff2b7055d59,Mar 05 2025 13:02:22,Deposit,25.00,,,,,,,,,
e7ca0164-011d-9ed2-994e-f7aa819573cf,Mar 05 2025 13:03:00,Purchase,-25.00,,0.00029200,,85617.09,25.00,,,,
41deb876-97c0-8a65-b5f7-ae673770f78a,Mar 06 2025 13:02:22,Deposit,25.00,,,,,,,,,
76157d93-549f-80b6-e517-7b1a2c1474a3,Mar 06 2025 13:03:00,Purchase,-25.00,,0.00029465,,84846.58,25.00,,,,
0f2bbaf1-8184-49ac-9225-bb24a71f227b,Mar 07 2025 13:02:22,Deposit,25.00,,,,,,,,,
0b7982f3-afab-f3cd-7548-d70d3d42bd7a,Mar 07 2025 13:03:00,Purchase,-25.00,,0.00028904,,86492.64,25.00,,,,
400ed2a1-941a-cbde-e296-6d0113129d31,Mar 08 2025 12:59:22,Deposit,100.00,,,,,,,,,
64f3618c-3c73-dfb2-bd1b-1cac5cf510f4,Mar 08 2025 13:00:00,Purchase,-100.00,,0.00114529,,87314.06,100.00,,,,
f5039e46-e6bd-90e7-071c-eb38b96de28c,Mar 09 2025 13:04:22,Deposit,30.00,,,,,,,,,
f81dcdeb-2af3-2d9b-d1bb-c69721e64014,Mar 09 2025 13:05:00,Purchase,-30.00,,0.00035845,,83692.96,30.00,,,,
bbda67ff-f706-3cff-35d3-b9f4034814b9,Mar 10 2025 13:01:22,Deposit,30.00,,,,,,,,,
aa01a911-6fce-7f49-c3c6-06977100297a,Mar 10 2025 13:02:00,Purchase,-30.00,,0.00033757,,88870.18,30.00,,,,
5970f83e-da8d-c4f6-b3c5-4a4eac105471,Mar 11 2025 13:04:22,Deposit,100.00,,,,,,,,,
4791bcee-35b2-b183-50a2-dcd13564f98f,Mar 11 2025 13:05:00,Purchase,-100.00,,0.00119910,,83395.90,100.00,,,,
1c6d2a4f-ca99-9404-5848-c627e7e29b17,Mar 12 2025 13:00:22,Deposit,20.00,,,,,,,,,
2314cc38-37d0-c208-e233-4ac49fd69217,Mar 12 2025 13:01:00,Purchase,-20.00,,0.00023006,,86932.70,20.00,,,,
82826233-390a-275a-3e09-9e1bd081ce39,Mar 13 2025 13:00:22,Deposit,50.00,,,,,,,,,
e620638b-c8af-44ea-f81e-8076e88e0773,Mar 13 2025 13:01:00,Purchase,-50.00,,0.00056356,,88721.17,50.00,,,,
7c925c92-0c07-5deb-721b-fc72120ca9d3,Mar 13 2025 18:35:22,Deposit,1000.00,,,,,,,,,
5a7c1c90-18e9-ce9c-882e-07c301ee02ef,Mar 13 2025 18:36:00,Purchase,-1000.00,,0.01126005,,88809.52,1000.00,,,,
7fa9661e-332e-3d11-8052-8992bade8777,Mar 14 2025 13:03:22,Deposit,25.00,,,,,,,,,
9dab573f-067b-7019-5ccb-6c3fe73e69d4,Mar 14 2025 13:04:00,Purchase,-25.00,,0.00028242,,88520.23,25.00,,,,
8f46bca7-4fce-2827-863f-ce1d0bb3f7ae,Mar 16 2025 13:04:22,Deposit,50.00,,,,,,,,,
433c4a0c-6b8c-9c6e-039a-bf07784f3cc4,Mar 16 2025 13:05:00,Purchase,-50.00,,0.00056122,,89090.83,50.00,,,,
ba41a05c-1012-312a-d2d2-e68824270146,Mar 17 2025 13:03:22,Deposit,20.00,,,,,,,,,
9c1cf466-2188-3fe7-dbad-2442440d62c9,Mar 17 2025 13:04:00,Purchase,-20.00,,0.00023198,,86214.00,20.00,,,,
9c1cf466-2188-3fe7-dbad-2442440d62c9,Mar 17 2025 13:04:00,Purchase,-20.00,,0.00023198,,86214.00,20.00,,,,
3fc27046-d83d-7d6a-2ded-80747275a44c,Mar 18 2025 12:59:22,Deposit,50.00,,,,,,,,,
e35c7e8a-55a5-d889-87dd-3329771d800a,Mar 18 2025 13:00:00,Purchase,-50.00,,0.00057091,,87579.81,50.00,,,,
ff2aab1c-5ff1-5b34-08c7-e53d5cc0646a,Mar 19 2025 13:00:22,Deposit,50.00,,,,,,,,,
9205abfe-7e6b-fab2-48e8-222f6ce06d4b,Mar 19 2025 13:01:00,Purchase,-50.00,,0.00055955,,89357.54,50.00,,,,
ced335b9-5660-01bc-7145-84e7531f625e,Mar 21 2025 12:59:22,Deposit,20.00,,,,,,,,,
7db9b450-f402-e094-f82d-5fd6ca25aba2,Mar 21 2025 13:00:00,Purchase,-20.00,,0.00022442,,89118.42,20.00,,,,
00b21398-44d5-6106-d0e4-47a147068486,Mar 22 2025 13:00:22,Deposit,30.00,,,,,,,,,
ea63d403-dc73-ddcf-9076-08b8820c3dc8,Mar 22 2025 13:01:00,Purchase,-30.00,,0.00033834,,88667.20,30.00,,,,
e0099a03-a3fd-94d5-0493-3b0a0dd363a5,Mar 23 2025 13:03:22,Deposit,30.00,,,,,,,,,
ab57541a-6ee9-7b81-9fc5-a6b1323a5aad,Mar 23 2025 13:04:00,Purchase,-30.00,,0.00033020,,90854.94,30.00,,,,
5ee5c172-e807-08b0-f3d2-9457ba9b51ab,Mar 24 2025 13:04:22,Deposit,50.00,,,,,,,,,
deaef236-e709-aed4-e8a3-2c0be13b5536,Mar 24 2025 13:05:00,Purchase,-50.00,,0.00055918,,89415.98,50.00,,,,
6cc1068e-d247-0f8c-337f-4e3ac176fb4b,Mar 25 2025 13:03:22,Deposit,50.00,,,,,,,,,
c387ec71-00f7-f998-ae89-831ec5d4ca97,Mar 25 2025 13:04:00,Purchase,-50.00,,0.00052799,,94699.01,50.00,,,,
9eb3c087-a6a1-edba-e7fa-d2cf9691f61e,Mar 26 2025 13:03:22,Deposit,50.00,,,,,,,,,
3eec36a0-0f6c-5466-a907-6da4a15724ca,Mar 26 2025 13:04:00,Purchase,-50.00,,0.00055421,,90218.95,50.00,,,,
65e7aa39-e481-6447-8ff2-9da17babbe14,Mar 27 2025 13:04:22,Deposit,50.00,,,,,,,,,
11d3f826-d98b-8fc3-5372-4f0da0ec3454,Mar 27 2025 13:05:00,Purchase,-50.00,,0.00053182,,94017.36,50.00,,,,
70bc99db-708b-baaa-14d6-ad0fff9674fd,Mar 28 2025 12:59:22,Deposit,20.00,,,,,,,,,
618d1057-cc4d-0554-1eba-0c3e1de02a35,Mar 28 2025 13:00:00,Purchase,-20.00,,0.00021790,,91783.81,20.00,,,,
1166891e-df53-c526-7725-c430a70f255d,Mar 29 2025 13:03:22,Deposit,30.00,,,,,,,,,
11447ee8-5e1a-9afe-541c-645025d198dd,Mar 29 2025 13:04:00,Purchase,-30.00,,0.00033095,,90648.96,30.00,,,,
ba48fd0d-0d8e-48a5-be6e-e8ff80e08daf,Mar 30 2025 13:02:22,Deposit,50.00,,,,,,,,,
ee1d24e4-94c1-44c2-c83e-00a6f2d1acc0,Mar 30 2025 13:03:00,Purchase,-50.00,,0.00054129,,92372.77,50.00,,,,
62cc9fb2-4e63-584b-7b82-c02280e03f0c,Mar 31 2025 13:04:22,Deposit,50.00,,,,,,,,,
f3b51fe3-1f91-977d-bece-49d21a22101f,Mar 31 2025 13:05:00,Purchase,-50.00,,0.00051684,,96740.81,50.00,,,,
13fb050b-14b9-f575-1205-fbf8ea7dae98,Apr 01 2025 13:02:22,Deposit,25.00,,,,,,,,,
5b4c8519-2c93-b6e9-1b26-7e7edcec3c0a,Apr 01 2025 13:03:00,Purchase,-25.00,,0.00026283,,95119.51,25.00,,,,
af2e91b9-c288-116a-c591-be88a0d658b7,Apr 02 2025 13:01:22,Deposit,50.00,,,,,,,,,
a4e33321-b28d-da75-27bd-361e680144d8,Apr 02 2025 13:02:00,Purchase,-50.00,,0.00051445,,97191.42,50.00,,,,
4bf40aa9-5f34-29f8-8e9c-0957e3f8f528,Apr 04 2025 13:00:22,Deposit,30.00,,,,,,,,,
d2e5fa18-b45d-edee-fa98-a8e92780346d,Apr 04 2025 13:01:00,Purchase,-30.00,,0.00032426,,92519.22,30.00,,,,
0ad5ea26-8c70-3489-9f7d-bd32bdc4471e,Apr 05 2025 13:04:22,Deposit,30.00,,,,,,,,,
0da80a73-c144-e977-16e5-f2d599ebd623,Apr 05 2025 13:05:00,Purchase,-30.00,,0.00030716,,97668.21,30.00,,,,
4260f5f1-cd2a-9bac-c7bd-a92055a425cd,Apr 06 2025 13:02:22,Deposit,25.00,,,,,,,,,
1a8c9559-e1a4-1727-5e25-6506dcd94efc,Apr 06 2025 13:03:00,Purchase,-25.00,,0.00025425,,98326.93,25.00,,,,
4da5f4ec-0740-fe78-e20d-5778bbf7ad56,Apr 07 2025 12:59:22,Deposit,30.00,,,,,,,,,
4ef118a6-abf6-14e7-45be-095814aaa9d7,Apr 07 2025 13:00:00,Purchase,-30.00,,0.00031161,,96273.39,30.00,,,,
ee1933df-2bd9-ce7c-ac09-88df7655259a,Apr 10 2025 13:03:22,Deposit,50.00,,,,,,,,,
bee00d57-8a85-d81f-d0a6-124177037f2c,Apr 10 2025 13:04:00,Purchase,-50.00,,0.00052504,,95230.98,50.00,,,,
477bd1a2-103b-66e8-6ace-04ef5e2acbdb,Apr 11 2025 13:00:22,Deposit,30.00,,,,,,,,,
e9bfaabb-0aa7-c42e-39b9-27b5a4b41e52,Apr 11 2025 13:01:00,Purchase,-30.00,,0.00030153,,99492.30,30.00,,,,
ca32529b-f99a-4161-4fc8-e604916b7525,Apr 12 2025 13:00:22,Deposit,25.00,,,,,,,,,
99056d79-0825-21b5-bfa1-09f82474a9d0,Apr 12 2025 13:01:00,Purchase,-25.00,,0.00025199,,99209.10,25.00,,,,
2236978b-f266-d5ed-d25f-794334052627,Apr 13 2025 13:02:22,Deposit,30.00,,,,,,,,,
12991512-cd9b-5633-1426-6ac63e47dcf1,Apr 13 2025 13:03:00,Purchase,-30.00,,0.00030206,,99316.88,30.00,,,,
92f20623-f91a-0376-5078-8bd0f28fcb1f,Apr 15 2025 13:00:22,Deposit,25.00,,,,,,,,,
eb4be472-c63c-06f2-21ae-06c61dce00b8,Apr 15 2025 13:01:00,Purchase,-25.00,,0.00025190,,99245.70,25.00,,,,
ccc7476e-10f3-a00f-281d-6756960caf99,Apr 17 2025 13:04:22,Deposit,100.00,,,,,,,,,
657ea0f5-4a4b-a8ba-363d-06957df6f6c6,Apr 17 2025 13:05:00,Purchase,-100.00,,0.00097394,,102676.12,100.00,,,,
470187d8-eb9d-d8df-83c7-f241c73eab5e,Apr 18 2025 12:59:22,Deposit,50.00,,,,,,,,,
fc138b90-3388-2be5-396c-22dc339c06c2,Apr 18 2025 13:00:00,Purchase,-50.00,,0.00050052,,99896.55,50.00,,,,
25c0aaa8-cb85-c7c8-7fe2-80698a8abdd0,Apr 19 2025 13:01:22,Deposit,50.00,,,,,,,,,
07022d44-f47c-f843-e6c7-b1ae06802db1,Apr 19 2025 13:02:00,Purchase,-50.00,,0.00050384,,99237.35,50.00,,,,
326d8078-886f-e10d-5faa-395b89cda942,Apr 20 2025 13:03:22,Deposit,50.00,,,,,,,,,
fbd4fa50-03d2-e689-e9a5-7a3d675d8f21,Apr 20 2025 13:04:00,Purchase,-50.00,,0.00049470,,101070.54,50.00,,,,
12e0e349-aec2-7189-9295-7ab466f5fbcf,Apr 21 2025 12:59:22,Deposit,50.00,,,,,,,,,
3614dac8-ef32-a42e-1820-f33d329c88c2,Apr 21 2025 13:00:00,Purchase,-50.00,,0.00048365,,103381.27,50.00,,,,
371eb959-f6a5-7ff9-fe01-f34a75a35205,Apr 22 2025 13:01:22,Deposit,50.00,,,,,,,,,
5cf1dcd0-4db6-6be2-d9c4-3006f00e17f1,Apr 22 2025 13:02:00,Purchase,-50.00,,0.00050313,,99377.21,50.00,,,,
dd751f17-884d-f9ed-5db1-f98acae4dfcb,Apr 24 2025 13:01:22,Deposit,50.00,,,,,,,,,
8253e8ff-b016-9a44-15d5-c7164c8b5be7,Apr 24 2025 13:02:00,Purchase,-50.00,,0.00047944,,104287.74,50.00,,,,
701e81c7-a2da-448e-cfb3-4a6f01b6cd66,Apr 25 2025 13:00:22,Deposit,50.00,,,,,,,,,
4fd76844-bc57-e47f-55a6-3177f1094681,Apr 25 2025 13:01:00,Purchase,-50.00,,0.00048890,,102269.40,50.00,,,,
6e086676-368b-c24b-f08e-7e3b3fdc0c9b,Apr 26 2025 12:59:22,Deposit,20.00,,,,,,,,,
b9943bf7-e5d9-0a64-e6db-684617ee662b,Apr 26 2025 13:00:00,Purchase,-20.00,,0.00019307,,103588.05,20.00,,,,
0753bdbb-204a-0cdd-c1ce-79fdf29d74b2,Apr 27 2025 13:02:22,Deposit,50.00,,,,,,,,,
07a594fc-543a-bc7e-96d7-8a906ba9dbdb,Apr 27 2025 13:03:00,Purchase,-50.00,,0.00047163,,106015.87,50.00,,,,
62f1f611-4204-e6cc-75bc-e65569e862dc,Apr 28 2025 13:03:22,Deposit,25.00,,,,,,,,,
033109dc-0e64-d99e-6fbb-82fd106f3d9b,Apr 28 2025 13:04:00,Purchase,-25.00,,0.00024802,,100799.92,25.00,,,,
309bf78d-d98f-67e1-a40a-cdb26e9ee27e,Apr 29 2025 13:00:22,Deposit,50.00,,,,,,,,,
