"Transaction ID","Date","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"18aubv","2023-09-09 16:55:00 PST","Bitcoin Buy","USD","-$982.00","-$18.00","-$1,000.00","BTC","$25,898.41","0.03791739","COMPLETED","purchase of BTC 0.03791739","","Your Cash"
"na7mav","2023-09-09 16:57:00 PST","Bitcoin Withdrawal","USD","-$1,000.00","$0","-$1,000.00","BTC","$25,898.41","0.03791739","COMPLETED","Withdrawing BTC 0.03791739","","Your Cash"
"aqtsns","2023-09-23 12:25:00 PST","Bitcoin Buy","USD","-$2,455.00","-$45.00","-$2,500.00","BTC","$26,585.41","0.09234388","COMPLETED","purchase of BTC 0.09234388","","Your Cash"
"8tst7w","2023-09-23 12:27:00 PST","Bitcoin Withdrawal","USD","-$2,500.00","$0","-$2,500.00","BTC","$26,585.41","0.09234388","COMPLETED","Withdrawing BTC 0.09234388","","Your Cash"
"w5ce9a","2023-10-03 16:15:00 PST","Bitcoin Buy","USD","-$147.30","-$2.70","-$150.00","BTC","$27,428.66","0.00537030","COMPLETED","purchase of BTC 0.00537030","","Your Cash"
"w5ce9a","2023-10-03 16:15:00 PST","Bitcoin Buy","USD","-$147.30","-$2.70","-$150.00","BTC","$27,428.66","0.00537030","COMPLETED","purchase of BTC 0.00537030","","Your Cash"
"ugingm","2023-10-03 16:17:00 PST","Bitcoin Withdrawal","USD","-$150.00","$0","-$150.00","BTC","$27,428.66","0.00537030","COMPLETED","Withdrawing BTC 0.00537030","","Your Cash"
"hq1mcj","2023-10-15 22:33:00 PST","Bitcoin Buy","USD","-$2,455.00","-$45.00","-$2,500.00","BTC","$27,177.41","0.09033238","COMPLETED","purchase of BTC 0.09033238","","Your Cash"
"plsi3o","2023-10-15 22:35:00 PST","Bitcoin Withdrawal","USD","-$2,500.00","$0","-$2,500.00","BTC","$27,177.41","0.09033238","COMPLETED","Withdrawing BTC 0.09033238","","Your Cash"
"iiuasx","2023-11-07 16:08:00 PST","Bitcoin Buy","USD","-$294.60","-$5.40","-$300.00","BTC","$35,421.85","0.00831690","COMPLETED","purchase of BTC 0.00831690","","Your Cash"
"vbiist","2023-11-07 16:10:00 PST","Bitcoin Withdrawal","USD","-$300.00","$0","-$300.00","BTC","$35,421.85","0.00831690","COMPLETED","Withdrawing BTC 0.00831690","","Your Cash"
"9f47he","2023-11-07 22:34:00 PST","Bitcoin Buy","USD","-$982.00","-$18.00","-$1,000.00","BTC","$35,421.85","0.02772300","COMPLETED","purchase of BTC 0.02772300","","Your Cash"
"i4ooey","2023-11-07 22:36:00 PST","Bitcoin Withdrawal","USD","-$1,000.00","$0","-$1,000.00","BTC","$35,421.85","0.02772300","COMPLETED","Withdrawing BTC 0.02772300","","Your Cash"
"526lga","2023-11-27 09:48:00 PST","Bitcoin Buy","USD","-$2,455.00","-$45.00","-$2,500.00","BTC","$37,246.29","0.06591260","COMPLETED","purchase of BTC 0.06591260","","Your Cash"
"sbklte","2023-11-27 09:50:00 PST","Bitcoin Withdrawal","USD","-$2,500.00","$0","-$2,500.00","BTC","$37,246.29","0.06591260","COMPLETED","Withdrawing BTC 0.06591260","","Your Cash"
"4tj1qp","2023-12-19 15:15:00 PST","Bitcoin Buy","USD","-$2,455.00","-$45.00","-$2,500.00","BTC","$42,268.08","0.05808165","COMPLETED","purchase of BTC 0.05808165","","Your Cash"
"zosg80","2023-12-19 15:17:00 PST","Bitcoin Withdrawal","USD","-$2,500.00","$0","-$2,500.00","BTC","$42,268.08","0.05808165","COMPLETED","Withdrawing BTC 0.05808165","","Your Cash"
